etnia;genero;nhijos;edad;promedio;he;sv;modalidad;rendimiento
Indígenas;MASCULINO;0;42;8.305;14.3;0;0;BAJO
Mestizos;MASCULINO;0;33;8.72;35.1;0;0;ALTO
Mestizos;MASCULINO;0;26;8.69;14.6;0;0;ALTO
Mestizos;MASCULINO;0;24;8.275;48.6;0;0;BAJO
Mestizos;FEMENINO;1;29;8.7;21.5;0;0;ALTO
Mestizos;MASCULINO;0;23;8.69;23;0;0;ALTO
Mestizos;MASCULINO;0;23;8.41;1.2;0;0;BAJO
Mestizos;MASCULINO;0;4;7.985;49.6;0;0;BAJO
Mestizos;FEMENINO;0;23;8.32;4.6;0;0;BAJO
Mestizos;MASCULINO;0;24;7.94;18.4;0;0;BAJO
Mestizos;MASCULINO;0;22;8.685;30.6;0;0;ALTO
Mestizos;FEMENINO;2;33;8.055;8.1;0;0;BAJO
Mestizos;MASCULINO;0;28;8.01;22.2;0;0;BAJO
Mestizos;FEMENINO;0;29;8.925;43.9;0;0;ALTO
Mestizos;FEMENINO;2;32;8.57;10.1;0;0;ALTO
Mestizos;FEMENINO;0;22;8.33;35.7;0;0;BAJO
Mestizos;FEMENINO;1;32;8.595;2.3;0;0;ALTO
Montubio;FEMENINO;0;21;8.525;42.4;0;0;ALTO
Mestizos;MASCULINO;0;22;7.835;19;0;0;BAJO
Mestizos;MASCULINO;0;22;8.26;13.3;0;0;BAJO
AfroEcuatoriano;MASCULINO;0;23;8.53;27.1;0;0;ALTO
Mestizos;MASCULINO;0;21;8.04;34.3;0;0;BAJO
Mestizos;FEMENINO;0;22;8.36;17.2;0;0;BAJO
Mestizos;FEMENINO;0;30;8.78;15.7;0;0;ALTO
Mestizos;FEMENINO;0;24;8.02;15.9;0;0;BAJO
Mestizos;MASCULINO;0;21;8.7;7.9;0;0;ALTO
Mestizos;FEMENINO;0;23;8.405;43.4;0;0;BAJO
Mestizos;FEMENINO;0;26;8.17;2.9;0;0;BAJO
Mestizos;MASCULINO;0;28;8.965;44;0;0;ALTO
Mestizos;MASCULINO;0;29;8.04;17.6;0;0;BAJO
Montubio;MASCULINO;0;4;8.66;44.2;0;0;ALTO
Mestizos;FEMENINO;0;22;8.55;6.1;0;0;ALTO
Mestizos;MASCULINO;0;22;8.35;9.5;0;0;BAJO
Blancos;FEMENINO;0;23;8.335;11;0;0;BAJO
AfroEcuatoriano;FEMENINO;0;24;8.345;38.4;0;0;BAJO
Mestizos;FEMENINO;1;22;8.315;23.9;0;0;BAJO
Mestizos;MASCULINO;0;22;7.91;26.8;0;0;BAJO
AfroEcuatoriano;MASCULINO;1;23;8.22;4.3;0;0;BAJO
Mestizos;MASCULINO;0;26;8.265;32.3;0;0;BAJO
Mestizos;MASCULINO;1;29;8.595;14.3;0;0;ALTO
Mestizos;MASCULINO;0;28;8.15;36.2;0;0;BAJO
Mestizos;MASCULINO;0;24;8.445;8.2;0;0;BAJO
Mestizos;MASCULINO;0;23;8.27;43.5;0;0;BAJO
Mestizos;MASCULINO;0;28;8.42;16;0;0;BAJO
Mestizos;FEMENINO;0;22;8.675;1;0;0;ALTO
Mestizos;MASCULINO;0;23;8.45;11.6;0;0;BAJO
Blancos;MASCULINO;0;22;8.55;8.8;0;0;ALTO
Mestizos;MASCULINO;0;23;8.07;49.4;0;0;BAJO
Mestizos;FEMENINO;0;23;9.005;45.1;0;0;ALTO
Mestizos;MASCULINO;0;21;9.05;29.4;0;0;ALTO
Mestizos;MASCULINO;0;22;8.315;29.1;0;0;BAJO
Mestizos;FEMENINO;0;22;8.08;16.5;0;0;BAJO
Mestizos;FEMENINO;0;22;8.64;33.9;0;0;ALTO
Mestizos;FEMENINO;0;22;8.645;7.1;0;0;ALTO
Mestizos;FEMENINO;0;23;8.67;13.2;0;0;ALTO
Mestizos;MASCULINO;0;22;8.31;46.3;0;0;BAJO
Mestizos;MASCULINO;0;23;8.415;37.4;0;0;BAJO
Mestizos;FEMENINO;1;23;8.115;30.6;0;0;BAJO
Mestizos;MASCULINO;0;22;8.125;30.2;0;0;BAJO
Mestizos;FEMENINO;0;22;8.9;2.9;0;0;ALTO
Mestizos;MASCULINO;0;22;7.91;41.3;0;0;BAJO
Mestizos;FEMENINO;0;22;8.65;34.5;0;0;ALTO
Mestizos;FEMENINO;0;22;8.51;5.8;0;0;ALTO
AfroEcuatoriano;MASCULINO;0;23;7.65;17.1;0;0;BAJO
Mestizos;MASCULINO;0;26;8.51;8.1;0;0;ALTO
Mestizos;MASCULINO;0;22;8.06;24.4;0;0;BAJO
Mestizos;MASCULINO;0;22;8.815;17.2;0;0;ALTO
Mestizos;FEMENINO;0;22;8.68;13.4;0;0;ALTO
Mestizos;MASCULINO;0;22;8.41;44.5;0;0;BAJO
Mestizos;MASCULINO;0;22;7.95;19.7;0;0;BAJO
Mestizos;MASCULINO;0;21;8.29;6.5;0;0;BAJO
Mestizos;MASCULINO;0;22;8.275;43;0;0;BAJO
AfroEcuatoriano;MASCULINO;0;22;8.305;35.6;0;0;BAJO
Mestizos;MASCULINO;0;23;9.03;5.7;0;0;ALTO
Mestizos;MASCULINO;0;23;8.69;16;0;0;ALTO
Blancos;FEMENINO;0;22;8.21;6.8;0;0;BAJO
Mestizos;MASCULINO;0;22;8.49;1.9;0;0;BAJO
Mestizos;MASCULINO;0;22;8.69;41.9;0;0;ALTO
Mestizos;FEMENINO;0;22;8.9;43.1;0;0;ALTO
Mestizos;MASCULINO;0;24;8.83;31.1;0;0;ALTO
Blancos;MASCULINO;0;22;7.58;48.6;0;0;BAJO
